Strain_code	Ochiai_measure
unclassified_Erysipelotrichaceae_2	0.1315587029
unclassified_Erysipelotrichaceae_1	0.1315587029
Lactobacillus_21	0.1315587029
Streptococcus_28	0.1315587029
unclassified_Erysipelotrichaceae_4	0.1315587029
Streptococcus_42	0.1315587029
Faecalibacterium_0	0.1315587029
Campylobacter_14	0.1315587029
Prevotella_37	0.1315587029
Kytococcus_0	0.1315587029
Corynebacterium_15	0.1315587029
Corynebacterium_12	0.1315587029
Ruminiclostridium_0	0.1315587029
Ruminiclostridium_9	0.1315587029
Bifidobacterium_6	0.1315587029
Lactobacillus_49	0.1315587029
Haemophilus_3	0.1283881478
Paraclostridium_0	0.1283881478
Caldanaerobacter_1	0.1283881478
Eubacterium_5	0.1283881478
Dictyoglomus_0	0.1283881478
Dorea_2	0.1283881478
Brachyspira_3	0.1283881478
Brachyspira_0	0.1283881478
Lactobacillus_59	0.1283881478
Campylobacter_18	0.1283881478
unclassified_Melainabacteria_0	0.1254363015
Barnesiella_0	0.1254363015
Peptoanaerobacter_0	0.1254363015
Lactobacillus_33	0.1254363015
Synergistes_0	0.1254363015
Bilophila_0	0.1254363015
Pseudoramibacter_0	0.1254363015
Clostridium_17	0.1254363015
Streptococcus_66	0.1254363015
Abiotrophia_0	0.1254363015
Prevotella_34	0.1254363015
Mitsuokella_0	0.1254363015
Brachyspira_2	0.1254363015
Streptococcus_7	0.1254363015
Sebaldella_0	0.1254363015
Prevotella_5	0.1254363015
Cutibacterium_5	0.1254363015
Lawsonia_0	0.1240347346
Caminibacter_0	0.122679123
Paeniclostridium_0	0.122679123
Streptococcus_17	0.122679123
Corynebacterium_17	0.122679123
Rothia_2	0.122679123
Eubacterium_13	0.122679123
Succinivibrio_0	0.122679123
Caldanaerobacter_0	0.1200961154
Eggerthella_1	0.1200961154
Leuconostoc_3	0.1200961154
Halococcus_0	0.1200961154
Lactobacillus_52	0.1200961154
Campylobacter_1	0.1200961154
Peptostreptococcus_1	0.1200961154
Rothia_4	0.1200961154
Adlercreutzia_0	0.1200961154
Yersinia_12	0.1182624792
Thauera_0	0.1182624792
Cupriavidus_1	0.1182624792
Sphingopyxis_0	0.1182624792
Enterobacter_3	0.1182624792
Bacillus_30	0.1182624792
Yersinia_6	0.1182624792
Dickeya_0	0.1182624792
Arthrobacter_1	0.1182624792
Bacillus_38	0.1182624792
Bacillus_39	0.1182624792
Erwinia_1	0.1182624792
Mobiluncus_1	0.1176696811
Campylobacter_16	0.1176696811
Eggerthia_0	0.1153846154
Leeuwenhoekiella_0	0.1132277034
Dechloromonas_0	0.1132277034
Comamonas_0	0.1132277034
Fusobacterium_5	0.1132277034
Bacillus_17	0.1132277034
Bacillus_10	0.1132277034
Escherichia_41	0.1132277034
Proteus_0	0.1132277034
Proteus_1	0.1132277034
Bacillus_7	0.1132277034
Enhydrobacter_0	0.1132277034
Pectobacterium_0	0.1132277034
Pseudomonas_11	0.1132277034
Lactobacillus_24	0.1132277034
Syntrophothermus_0	0.1132277034
Pseudomonas_1	0.1132277034
Achromobacter_0	0.1132277034
Bacteroides_44	0.1132277034
Bacillus_44	0.1132277034
Bacillus_40	0.1132277034
Photobacterium_0	0.1132277034
Pantoea_0	0.1132277034
Ralstonia_1	0.1132277034
Ralstonia_0	0.1132277034
Ralstonia_6	0.1132277034
Geobacillus_0	0.1132277034
Trabulsiella_0	0.1132277034
